cluster,ID,Description,direction,camera_FDR,fgsea_padj,fgsea_NES,collection,set_size,agreement_q,absNES,in_consensus,solo_high_conf,final_reason,keep_final
1,WP2446,Retinoblastoma gene in cancer,UP,4.5682273121421536e-10,1.7355747067067923e-17,2.9026307828312223,WP,87,4.5682273121421536e-10,2.9026307828312223,FALSE,TRUE,solo_high_conf,TRUE
2,WP411,mRNA processing,UP,1.407454523281245e-7,1.992281653847689e-12,2.5458077889541593,WP,125,1.407454523281245e-7,2.5458077889541593,FALSE,TRUE,solo_high_conf,TRUE
3,WP4016,DNA IR damage and cellular response via ATR,UP,7.990983180907505e-6,2.2035117112968568e-11,2.616494773893685,WP,81,7.990983180907505e-6,2.616494773893685,FALSE,TRUE,solo_high_conf,TRUE
4,WP4240,Regulation of sister chromatid separation at the metaphase anaphase transition,UP,4.441352522969889e-5,3.5115661878851553e-4,2.165185943751565,WP,14,3.5115661878851553e-4,2.165185943751565,FALSE,TRUE,solo_high_conf,TRUE
5,WP2361,Gastric cancer network 1,UP,0.00429460117837113,1.0019685012558096e-5,2.332403454884902,WP,27,0.00429460117837113,2.332403454884902,FALSE,TRUE,solo_high_conf,TRUE
6,WP4022,Pyrimidine metabolism,UP,0.00837385791348614,8.337183633759805e-5,2.1090192589557226,WP,82,0.00837385791348614,2.1090192589557226,FALSE,TRUE,solo_high_conf,TRUE
7,WP1601,Fluoropyrimidine activity,UP,0.01131091271380426,0.00117242470934803,2.0868815433343406,WP,27,0.01131091271380426,2.0868815433343406,FALSE,TRUE,solo_high_conf,TRUE
8,WP477,Cytoplasmic ribosomal proteins,UP,0.01338122003168429,0.00151280061882891,1.919705296053227,WP,87,0.01338122003168429,1.919705296053227,FALSE,TRUE,solo_high_conf,TRUE
9,WP2363,Gastric cancer network 2,UP,0.01432358542494685,0.00882496146639223,1.971374336911521,WP,30,0.01432358542494685,1.971374336911521,FALSE,TRUE,solo_high_conf,TRUE
10,GO:0000278,mitotic cell cycle,UP,7.519233982907349e-5,1.9754320112991262e-10,2.605164014835102,GO,78,7.519233982907349e-5,2.605164014835102,FALSE,TRUE,solo_high_conf,TRUE
11,GO:0051321,meiotic cell cycle,UP,3.1108826359489e-4,3.0145125177026647e-4,2.1983710317123113,GO,33,3.1108826359489e-4,2.1983710317123113,FALSE,TRUE,solo_high_conf,TRUE
12,GO:0090307,mitotic spindle assembly,UP,4.443415245474646e-4,3.2569374818616943e-4,2.2142121956942686,GO,25,4.443415245474646e-4,2.2142121956942686,FALSE,TRUE,solo_high_conf,TRUE
13,GO:0007059,chromosome segregation,UP,4.454850392645474e-4,3.3921608429921404e-7,2.4847978000668074,GO,51,4.454850392645474e-4,2.4847978000668074,FALSE,TRUE,solo_high_conf,TRUE
14,GO:0000070,mitotic sister chromatid segregation,UP,0.00235517370028439,7.94577731801175e-4,2.1201358961923433,GO,13,0.00235517370028439,2.1201358961923433,FALSE,TRUE,solo_high_conf,TRUE
15,GO:0006913,nucleocytoplasmic transport,UP,0.00352763967176144,0.02657814962549842,1.9018576836827177,GO,36,0.02657814962549842,1.9018576836827177,FALSE,TRUE,solo_high_conf,TRUE
16,GO:0043484,regulation of RNA splicing,UP,0.00454030121099256,1.153605290166192e-4,2.2954305010839837,GO,31,0.00454030121099256,2.2954305010839837,FALSE,TRUE,solo_high_conf,TRUE
17,GO:0000076,DNA replication checkpoint signaling,UP,0.00685143024808874,5.159855331754656e-5,2.210661459544209,GO,10,0.00685143024808874,2.210661459544209,FALSE,TRUE,solo_high_conf,TRUE
18,GO:0000086,G2/M transition of mitotic cell cycle,UP,0.02905261105792873,2.319427947519772e-4,2.2108745143483945,GO,33,0.02905261105792873,2.2108745143483945,FALSE,TRUE,solo_high_conf,TRUE
19,GO:0140588,chromatin looping,UP,0.03118328326484352,1.1503255800808937e-4,2.10260527222574,GO,91,0.03118328326484352,2.10260527222574,FALSE,TRUE,solo_high_conf,TRUE
20,GO:0007051,spindle organization,UP,0.03361051426884951,0.01608627466337337,1.9494500399775232,GO,11,0.03361051426884951,1.9494500399775232,FALSE,TRUE,solo_high_conf,TRUE
21,GO:0071168,protein localization to chromatin,UP,0.03535930616665995,0.01348731155661093,1.9619202869926595,GO,11,0.03535930616665995,1.9619202869926595,FALSE,TRUE,solo_high_conf,TRUE
22,GO:0007017,microtubule-based process,UP,0.04815910769379521,0.00921693031521496,2.002940933046784,GO,14,0.04815910769379521,2.002940933046784,FALSE,TRUE,solo_high_conf,TRUE
